Lieu de prêt,Emplacement,"Nb prêt
01/03/18","Nb prêt
02/03/18","Nb prêt
03/03/18","Nb prêt
05/03/18","Nb prêt
06/03/18","Nb prêt
07/03/18","Nb prêt
08/03/18","Nb prêt
09/03/18","Nb prêt
10/03/18","Nb prêt
12/03/18","Nb prêt
13/03/18","Nb prêt
14/03/18","Nb prêt
15/03/18","Nb prêt
16/03/18","Nb prêt
17/03/18","Nb prêt
19/03/18","Nb prêt
20/03/18","Nb prêt
21/03/18","Nb prêt
22/03/18","Nb prêt
23/03/18","Nb prêt
24/03/18","Nb prêt
26/03/18","Nb prêt
27/03/18","Nb prêt
28/03/18","Nb prêt
29/03/18","Nb prêt
30/03/18","Nb prêt
31/03/18"
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,3,0,5,3,2,0,1,0,3,2,6,0,0,0,1,1,4,0,0,0
                         ,MUSIQUE ADULTES    ,1,0,0,4,2,1,0,11,0,3,2,19,0,0,0,17,2,12,1,7,0,13,2,20,0,10,0
                         ,MUSIQUE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,5,0,4,2,0,0,2,0,3,7,20,0,1,0,3,5,7,0,0,0,1,4,12,0,3,0
                         ,PHILOSOPHIE        ,0,2,0,1,0,2,0,2,0,3,0,1,0,1,0,3,3,3,1,3,0,1,4,0,0,0,0
                         ,PRESSE             ,1,22,0,0,15,36,0,7,0,11,5,27,0,19,0,22,11,42,0,8,0,13,12,45,0,23,0
                         ,PSYCHOLOGIE        ,0,1,0,4,1,4,0,0,0,7,0,4,0,0,0,1,4,1,0,1,0,2,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,20,0,24,13,40,0,31,0,21,54,37,0,30,0,47,37,37,1,28,0,16,19,46,0,36,0
                         ,ROMANS JEUNESSE    ,0,5,0,27,6,30,0,24,0,36,47,83,0,14,0,42,42,102,0,16,0,17,18,57,2,18,0
                         ,SCIENCES           ,0,2,0,1,1,5,0,4,0,8,4,32,0,1,0,4,3,9,0,1,0,1,6,9,2,3,0
                         ,SOCIETE            ,0,2,0,0,2,6,0,2,0,3,1,7,0,5,0,4,2,4,0,7,0,1,1,1,0,3,0
                         ,SPORTS ET LOISIRS  ,0,1,0,0,2,2,0,0,0,2,0,2,0,5,0,3,0,7,0,2,0,1,3,4,0,0,0
                         ,VIE PRATIQUE       ,1,7,0,8,8,4,0,15,0,8,4,28,0,7,0,9,11,7,0,7,0,13,1,11,0,5,0
                         ,THEATRE            ,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0
La Ludothèque            ,TOTAL              ,2,47,12,0,85,103,0,49,0,0,35,89,0,59,36,0,34,108,0,53,28,0,23,46,4,27,26
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
