Lieu de prêt,Emplacement,"Nb prêt
03/07/17","Nb prêt
04/07/17","Nb prêt
05/07/17","Nb prêt
06/07/17","Nb prêt
07/07/17","Nb prêt
10/07/17","Nb prêt
11/07/17","Nb prêt
12/07/17","Nb prêt
13/07/17","Nb prêt
17/07/17","Nb prêt
18/07/17","Nb prêt
19/07/17","Nb prêt
20/07/17","Nb prêt
21/07/17","Nb prêt
24/07/17","Nb prêt
25/07/17","Nb prêt
26/07/17","Nb prêt
27/07/17","Nb prêt
28/07/17","Nb prêt
31/07/17"
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,1,0,4,3,0,1,0,0,0,0,2,0,2,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0
                         ,LANGUES            ,0,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
                         ,LOISIRS CREATIFS   ,0,1,2,0,3,4,0,1,0,0,0,2,0,0,0,0,0,0,3,0
                         ,MUSIQUE ADULTES    ,2,3,8,0,0,6,5,6,0,4,0,0,3,0,2,0,2,0,10,15
                         ,MUSIQUE JEUNESSE   ,0,2,2,0,9,8,0,5,0,1,0,0,0,0,1,2,3,0,0,0
                         ,PHILOSOPHIE        ,0,0,2,0,0,1,0,3,0,0,0,0,0,1,1,0,2,0,0,0
                         ,PRESSE             ,12,14,6,0,1,33,11,62,0,18,3,19,0,1,8,5,23,0,27,16
                         ,PSYCHOLOGIE        ,0,2,1,0,1,0,0,2,0,2,0,1,0,0,2,0,1,0,1,4
                         ,RELIGIONS          ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,27,13,34,0,7,49,17,32,0,72,19,44,1,25,13,7,54,0,31,12
                         ,ROMANS JEUNESSE    ,4,13,11,0,23,6,4,10,0,31,7,17,3,3,15,11,17,0,22,1
                         ,SCIENCES           ,4,2,1,0,2,2,0,3,0,0,3,0,0,1,1,3,2,0,2,3
                         ,SOCIETE            ,0,2,1,0,0,2,9,7,0,2,2,0,0,0,2,3,2,0,4,0
                         ,SPORTS ET LOISIRS  ,5,0,4,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,4,0
                         ,VIE PRATIQUE       ,9,9,9,0,4,5,5,7,0,3,0,2,0,2,3,1,5,0,1,8
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
La Ludothèque            ,TOTAL              ,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,52,298,227,203,89,12,369,273,277,1,248,304,211,235,3,295,207,118,194,0
                         ,ALBUMS             ,35,45,34,41,23,3,37,39,56,0,23,94,12,30,0,50,47,8,4,0
                         ,ARTS               ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,28,2,9,0,0,44,14,13,0,7,11,23,7,0,28,25,0,6,0
                         ,BD JEUNESSE        ,2,71,66,11,7,0,102,68,44,0,60,44,48,50,0,45,39,28,45,0
                         ,CINEMA ADULTES     ,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0
                         ,CINEMA JEUNESSE    ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,3,0,0,0,0,1,2,2,0,0,2,3,0,0,2,1,0,0,0
                         ,JEUX D'EXERCICES   ,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,1,46,22,15,10,0,22,36,17,0,31,25,6,46,0,49,28,2,29,0
                         ,JEUX VIDEO         ,0,20,10,5,0,0,13,14,6,0,26,13,12,14,0,10,10,8,14,0
                         ,LANGUES            ,0,4,4,3,0,0,10,2,3,0,13,3,4,1,0,9,1,2,0,0
                         ,LITTERATURE        ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,1,2,0,1,2,3,1,10,1,4,3,1,4,3,0,4,0
                         ,MUSIQUE ADULTES    ,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,1,0,0,0,1,0,0,1,5,1,0,0,2,2,0,0,0
