Lieu de prêt,Emplacement,"Nb prêt
02/11/18","Nb prêt
03/11/18","Nb prêt
05/11/18","Nb prêt
06/11/18","Nb prêt
07/11/18","Nb prêt
08/11/18","Nb prêt
09/11/18","Nb prêt
10/11/18","Nb prêt
12/11/18","Nb prêt
13/11/18","Nb prêt
14/11/18","Nb prêt
15/11/18","Nb prêt
16/11/18","Nb prêt
17/11/18","Nb prêt
19/11/18","Nb prêt
20/11/18","Nb prêt
21/11/18","Nb prêt
22/11/18","Nb prêt
23/11/18","Nb prêt
24/11/18","Nb prêt
26/11/18","Nb prêt
27/11/18","Nb prêt
28/11/18","Nb prêt
29/11/18","Nb prêt
30/11/18"
                         ,SPORTS ET LOISIRS  ,1,0,1,0,3,1,1,0,1,0,1,0,1,0,0,0,4,0,0,0,1,0,2,0,1
                         ,VIE PRATIQUE       ,2,0,8,7,15,3,1,0,10,7,21,0,13,0,2,3,27,0,3,0,7,8,6,0,8
                         ,THEATRE            ,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
La Ludothèque            ,TOTAL              ,59,46,0,108,105,8,83,62,0,28,73,0,31,44,0,34,73,0,37,77,0,48,106,2,34
                         ,ALBUMS             ,1,0,0,34,0,0,5,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0
                         ,AUTOUR DU JEU      ,2,2,0,6,7,2,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,9,1,1
                         ,BD ADULTES         ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
                         ,BD JEUNESSE        ,0,0,0,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
                         ,JEUX D'ASSEMBLAGE  ,7,4,0,10,8,0,7,2,0,2,13,0,7,1,0,3,16,0,3,8,0,3,13,0,2
                         ,JEUX D'EXERCICES   ,12,15,0,19,23,0,6,7,0,5,17,0,9,7,0,1,13,0,7,33,0,11,19,0,1
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,12,11,0,9,24,6,35,28,0,6,13,0,11,24,0,12,14,0,13,6,0,24,16,0,27
