Emplacement,"Nb prêt
01/06/18","Nb prêt
02/06/18","Nb prêt
04/06/18","Nb prêt
05/06/18","Nb prêt
06/06/18","Nb prêt
07/06/18","Nb prêt
08/06/18","Nb prêt
09/06/18","Nb prêt
11/06/18","Nb prêt
12/06/18","Nb prêt
13/06/18","Nb prêt
14/06/18","Nb prêt
15/06/18","Nb prêt
16/06/18","Nb prêt
18/06/18","Nb prêt
19/06/18","Nb prêt
20/06/18","Nb prêt
21/06/18","Nb prêt
22/06/18","Nb prêt
23/06/18","Nb prêt
25/06/18","Nb prêt
26/06/18","Nb prêt
27/06/18","Nb prêt
28/06/18","Nb prêt
29/06/18","Nb prêt
30/06/18"
BD ADULTES         ,17,14,0,24,22,1,20,29,0,26,13,4,6,43,0,18,9,9,3,21,0,8,1,2,5,15
BD JEUNESSE        ,28,15,0,29,79,16,4,53,1,27,72,11,7,69,0,25,107,21,28,75,0,31,33,26,35,30
CINEMA ADULTES     ,0,0,0,1,4,5,0,0,0,2,2,0,2,0,0,0,0,1,7,0,0,1,0,0,2,0
CINEMA JEUNESSE    ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1
DANSE              ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOGRAPHIE         ,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0
HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
INFORMATIQUE       ,3,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,1,0,1,4
JEUX D'ASSEMBLAGE  ,2,1,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,1,3,0,0,2,2,0,0,2
JEUX D'EXERCICES   ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,1,2
JEUX A REGLES      ,4,24,0,6,14,3,22,34,1,15,36,8,9,20,0,9,15,5,15,20,0,10,17,8,25,20
JEUX SYMBOLIQUES   ,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
JEUX VIDEO         ,7,6,0,8,21,2,1,6,0,8,9,10,6,3,0,4,9,1,5,14,0,12,22,2,18,11
LANGUES            ,10,2,0,11,3,10,1,7,0,2,5,2,1,2,0,1,22,2,0,4,0,2,2,6,17,1
LITTERATURE        ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
