Lieu de prêt,Emplacement,"Nb prêt
03/12/18","Nb prêt
04/12/18","Nb prêt
05/12/18","Nb prêt
06/12/18","Nb prêt
07/12/18","Nb prêt
08/12/18","Nb prêt
10/12/18","Nb prêt
11/12/18","Nb prêt
12/12/18","Nb prêt
13/12/18","Nb prêt
14/12/18","Nb prêt
15/12/18","Nb prêt
17/12/18","Nb prêt
18/12/18","Nb prêt
19/12/18","Nb prêt
20/12/18","Nb prêt
21/12/18","Nb prêt
22/12/18","Nb prêt
26/12/18","Nb prêt
27/12/18","Nb prêt
28/12/18","Nb prêt
29/12/18"
La Ludothèque            ,TOTAL              ,0,47,77,1,17,39,0,32,116,0,53,49,0,42,76,2,45,0,35,2,32,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,AUTOUR DU JEU      ,0,0,7,0,0,1,0,0,4,0,0,1,0,2,0,0,0,0,0,0,1,0
                         ,BD ADULTES         ,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,6,12,0,1,5,0,1,13,0,14,9,0,0,9,0,3,0,4,0,2,0
                         ,JEUX D'EXERCICES   ,0,15,14,0,6,1,0,3,19,0,6,4,0,10,12,0,4,0,3,0,1,0
                         ,LIVRES SUR LES JEUX,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,7,23,0,5,11,0,14,28,0,12,20,0,16,31,0,22,0,5,2,21,0
                         ,JEUX SYMBOLIQUES   ,0,17,19,0,5,18,0,7,46,0,19,11,0,10,24,0,13,0,10,0,7,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0
                         ,ROMANS JEUNESSE    ,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,0,150,260,155,216,285,0,232,303,126,232,354,0,261,550,258,130,0,371,301,372,0
                         ,ALBUMS             ,0,25,82,44,81,52,0,39,47,14,49,96,0,35,140,63,9,0,66,44,83,0
                         ,ARTS               ,0,0,1,1,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0
                         ,BD ADULTES         ,0,3,14,12,6,45,0,6,24,0,2,41,0,16,23,35,6,0,34,31,31,0
                         ,BD JEUNESSE        ,0,17,30,22,27,42,0,20,72,22,59,68,0,32,91,35,10,0,98,58,87,0
                         ,CINEMA ADULTES     ,0,0,0,0,1,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,1,0
                         ,CINEMA JEUNESSE    ,0,0,2,0,4,0,0,5,2,0,4,3,0,0,4,0,6,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,3,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,1,0,1,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,2,7,0,0,0,0,1,3,1,0,0,0,0,5,6,0,0,3,1,1,0
                         ,JEUX D'ASSEMBLAGE  ,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,1,2,0,1,1,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,6,32,14,18,40,0,17,25,11,21,33,0,19,55,8,25,0,26,41,32,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,2,0,5,12,0,7,18,4,3,10,0,4,14,6,7,0,14,16,14,0
                         ,LANGUES            ,0,5,1,0,1,0,0,10,0,4,1,6,0,8,17,7,1,0,10,5,4,0
                         ,LITTERATURE        ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,3,5,1,0,5,0,2,5,2,2,0,0,5,2,5,0,0,11,2,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
                         ,MUSIQUE JEUNESSE   ,0,1,0,1,4,1,0,1,2,0,2,0,0,1,0,1,4,0,3,0,0,0
                         ,PRESSE             ,0,14,5,4,14,5,0,3,10,7,18,8,0,15,55,6,1,0,3,19,14,0
                         ,FONDS PRO          ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
                         ,PSYCHOLOGIE        ,0,3,2,0,5,3,0,5,5,5,4,3,0,8,9,7,2,0,10,3,5,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,49,11,31,30,19,0,62,19,30,21,42,0,71,24,32,29,0,34,40,44,0
                         ,ROMANS JEUNESSE    ,0,12,33,12,4,43,0,21,43,5,29,19,0,19,62,16,24,0,25,16,27,0
                         ,SCIENCES           ,0,2,10,4,0,3,0,4,2,2,3,3,0,3,17,3,0,0,3,1,5,0
                         ,SOCIETE            ,0,4,15,3,3,3,0,6,0,4,1,8,0,6,6,6,1,0,10,3,2,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0
                         ,VIE PRATIQUE       ,0,3,2,5,7,4,0,15,19,9,7,13,0,6,19,20,2,0,20,16,19,0
                         ,THEATRE            ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
